ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
19792,"Fractal Analytics, Inc.",0,,3,0,2023-03-02,2024-03-06,0.0,370
20075,AT Asset Management Pte Ltd.,0,,1,0,2023-02-02,2023-02-02,0.0,0
20077,Infodart Technologies India Ltd.,0,,1,0,2024-01-08,2024-01-08,0.0,0
20219,Iress Ltd.,0,,21,0,2021-03-05,2023-10-04,0.0,943
20294,Caregiver Asia Pte Ltd.,0,,1,0,2022-09-09,2022-09-09,0.0,0
20295,Pure NZ Dental Pte Ltd.,0,,2,0,2021-10-07,2023-10-05,0.0,728
20349,"Shimano, Inc.",1,2021-04-28,17,1,2021-03-09,2022-01-05,0.058823529411764705,302
20408,Crayon Data Pte Ltd.,0,,7,0,2021-12-30,2023-01-11,0.0,377
20486,Nexif Energy Management Pte Ltd.,0,,2,0,2022-10-21,2022-10-23,0.0,2
20538,GCSS Ltd.,0,,6,0,2021-10-04,2024-02-14,0.0,863
20570,Wiima Logistics Oy,0,,2,0,2022-01-20,2022-06-11,0.0,142
20572,Camper & Nicholsons International Ltd.,0,,1,0,2024-04-19,2024-04-19,0.0,0
21028,French Chamber of Commerce In Singapore,1,2024-11-20,140,1,2021-06-14,2024-12-27,0.007142857142857143,1292
21729,A.T.M. Engineering Srl,0,,4,0,2023-08-30,2024-08-14,0.0,350
21810,Oncoshot Pte Ltd.,0,,1,0,2024-03-20,2024-03-20,0.0,0
22115,"Carter Solutions, Inc.",0,,8,0,2021-05-17,2024-02-16,0.0,1005
22119,ODU GmbH & Co. KG,0,,2,0,2023-11-24,2024-02-22,0.0,90
22226,"Yakult USA, Inc.",0,,17,0,2022-08-09,2024-11-27,0.0,841
22672,Synergy Corporate Technologies Ltd.,0,,5,0,2021-03-20,2024-01-24,0.0,1040
22822,Agelix Consulting LLC,0,,1,0,2022-10-08,2022-10-08,0.0,0
22934,Fleggaard GmbH,0,,1,0,2024-10-14,2024-10-14,0.0,0
23002,Cyviz AS,0,,11,0,2021-03-09,2021-11-05,0.0,241
23066,Simply Wall Street Pty Ltd.,0,,1,0,2022-04-22,2022-04-22,0.0,0
23387,MD Pharmaceuticals Pte Ltd.,0,,14,0,2022-08-03,2024-11-05,0.0,825
23844,"SOLUTE, Inc.",0,,9,0,2022-05-23,2024-09-27,0.0,858
23897,Hydroemission Corp. Pte Ltd.,0,,4,0,2023-02-01,2023-10-17,0.0,258
24014,Crowe LLP,0,,4,0,2022-09-13,2022-11-01,0.0,49
24035,MMI Asia Pte Ltd.,0,,10,0,2021-09-30,2024-01-25,0.0,847
24302,Lacto Asia Pte Ltd.,0,,21,0,2022-05-09,2024-11-20,0.0,926
24381,Digital Gadgets LLC,0,,1,0,2022-08-12,2022-08-12,0.0,0
24618,IHI Asia Pacific Pte Ltd.,0,,12,0,2021-07-24,2024-10-09,0.0,1173
24770,Urban Habitat Design Pte Ltd.,0,,2,0,2022-09-20,2024-01-22,0.0,489
24832,Merchfoundry,0,,2,0,2024-06-20,2024-06-21,0.0,1
24914,I.O.T. Workz Pte Ltd,0,,15,0,2021-08-17,2024-09-30,0.0,1140
24948,"Axiom Marketing, Inc.",0,,3,0,2024-08-25,2024-11-25,0.0,92
25102,Adatos Pte Ltd.,0,,2,0,2021-10-08,2024-01-19,0.0,833
25172,Incompleteness Theorem Sdn. Bhd.,0,,6,0,2022-01-06,2024-10-02,0.0,1000
25186,Wise Guys Investment OÜ,0,,1,0,2022-09-12,2022-09-12,0.0,0
25373,The Southern Co.,0,,1,0,2022-08-10,2022-08-10,0.0,0
25418,Brawn Capital Ltd.,0,,3,0,2021-11-20,2022-08-26,0.0,279
25428,"Fila U.S.A., Inc.",0,,1,0,2022-07-27,2022-07-27,0.0,0
25613,"Flash Express Co., Ltd.",1,2022-12-28,16,1,2022-12-28,2024-04-03,0.0625,462
25836,CredAble,0,,3,0,2024-01-04,2024-06-10,0.0,158
26230,SKP NV,0,,6,0,2021-03-25,2023-01-12,0.0,658
26241,"Bugcrowd, Inc.",0,,3,0,2023-07-20,2024-10-01,0.0,439
26627,"Nulab, Inc. (Japan)",0,,2,0,2021-03-26,2021-04-21,0.0,26
26835,PT Bank Mandiri (Persero) Tbk,1,2023-02-22,36,1,2022-01-12,2024-12-05,0.027777777777777776,1058
26905,Association to Advance Collegiate Schools of Business,0,,3,0,2023-11-14,2024-10-18,0.0,339
27183,Virtual Internship Partners Ltd.,0,,1,0,2021-11-16,2021-11-16,0.0,0
27308,Marorka ehf,0,,23,0,2021-05-14,2024-12-30,0.0,1326
27461,Ntc Integration Pte Ltd,0,,29,0,2022-03-22,2024-12-02,0.0,986
27869,Realtek Semiconductor Corp.,0,,174,0,2021-03-25,2024-12-17,0.0,1363
27888,Parcel Perform Pte Ltd.,0,,20,0,2022-01-13,2024-05-28,0.0,866
27928,"Long Yuan Construction Group Co., Ltd.",0,,6,0,2022-07-10,2024-10-16,0.0,829
27941,"Bliss, Inc.",0,,16,0,2021-08-18,2024-11-12,0.0,1182
27953,Stolt-Nielsen Ltd.,1,2023-02-03,98,2,2021-03-22,2024-12-30,0.02040816326530612,1379
28126,Airgate Israel Ltd.,0,,8,0,2022-01-25,2023-01-12,0.0,352
28198,Jrs Engineering,0,,7,0,2021-10-20,2024-01-14,0.0,816
28217,"Exterro, Inc.",0,,1,0,2022-05-07,2022-05-07,0.0,0
28256,IFC TV LLC,0,,46,0,2022-06-15,2023-04-12,0.0,301
28259,Cyder Sg Pte Ltd.,0,,1,0,2021-09-02,2021-09-02,0.0,0
28275,"CoinRoutes, Inc.",0,,1,0,2023-09-28,2023-09-28,0.0,0
28681,Path Infotech Ltd.,0,,289,0,2021-03-30,2024-12-11,0.0,1352
28786,Lingoda GmbH,0,,10,0,2021-04-01,2024-09-18,0.0,1266
28795,"Coffee Meets Bagel, Inc.",0,,2,0,2022-08-24,2024-12-12,0.0,841
29108,"Allwork, Inc.",0,,1,0,2023-02-19,2023-02-19,0.0,0
29181,Crescent Asset Management Asia Pte Ltd.,0,,3,0,2022-05-12,2023-10-31,0.0,537
29333,Active8me Pte Ltd.,0,,1,0,2021-03-27,2021-03-27,0.0,0
29408,Club Rainbow (Singapore),0,,41,0,2021-03-17,2024-10-09,0.0,1302
29761,St Josephs Institution International Ltd.,1,2021-08-30,125,4,2021-03-05,2024-12-12,0.032,1378
29770,"Synergy Marketing, Inc.",0,,20,0,2021-11-17,2024-08-19,0.0,1006
29794,Access Direct,0,,6,0,2021-11-26,2024-05-15,0.0,901
29833,"Comrise, Inc.",0,,23,0,2022-07-05,2024-02-29,0.0,604
30174,"AWP, Inc.",1,2024-12-20,36,1,2022-01-19,2024-12-24,0.027777777777777776,1070
30453,Symphony Marketing Co. Ltd.,0,,1,0,2024-04-08,2024-04-08,0.0,0
30557,Pest Pro LLC,0,,65,0,2022-01-18,2024-10-01,0.0,987
30570,Stryber AG,0,,7,0,2022-05-19,2024-04-16,0.0,698
30867,Gameboom VR SpA,0,,2,0,2024-10-19,2024-10-19,0.0,0
30882,LTD Commodities LLC,0,,1,0,2021-09-08,2021-09-08,0.0,0
31092,Singapore GP Pte Ltd.,1,2021-11-03,2798,22,2021-03-26,2024-11-26,0.007862759113652609,1341
31155,"Don Gowan, Inc.",0,,3,0,2021-08-17,2021-11-15,0.0,90
