ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
23275491,Recruit Now Singapore Pte. Ltd.,1,2022-09-27,2980,37,2022-03-18,2024-12-31,0.012416107382550336,1019
868164,Wsh Experts Pte Ltd,1,2023-12-14,2922,4,2022-01-01,2024-12-27,0.0013689253935660506,1091
736766,"Agency for Science, Technology & Research",1,2022-09-22,2853,36,2022-01-03,2024-12-31,0.012618296529968454,1093
329336,Reeracoen Singapore Pte Ltd.,1,2022-01-18,2769,22,2022-01-03,2024-11-19,0.007945106536655833,1051
16299511,One Vogue Pte Ltd,1,2022-05-16,2769,32,2022-01-05,2024-12-31,0.01155651859877212,1091
4896729,JLL India,1,2022-01-25,2766,22,2022-01-03,2024-12-30,0.007953723788864787,1092
5801041,RAPSYS TECHNOLOGIES PTE. LTD.,1,2022-02-16,2764,23,2022-01-06,2024-12-30,0.008321273516642547,1089
31092,Singapore GP Pte Ltd.,1,2022-01-20,2756,21,2022-01-04,2024-11-26,0.007619738751814224,1057
564952,HSBC Bank Plc,1,2022-08-02,2694,13,2022-01-01,2024-12-31,0.004825538233110616,1095
543448,JPMorgan Chase & Co.,1,2022-05-18,2679,10,2022-01-04,2024-12-28,0.003732736095558044,1089
20921708,"Robert Half, Inc.",1,2022-09-19,2649,6,2022-01-03,2024-11-20,0.0022650056625141564,1052
20173406,Wecruit,1,2024-02-16,2639,33,2022-01-22,2024-12-31,0.012504736642667677,1074
2511752,Business Edge Personnel Services Pte Ltd.,1,2022-06-30,2552,10,2022-01-04,2024-12-26,0.003918495297805642,1087
929032,Singapore Health Services Pte Ltd.,1,2022-07-29,2491,14,2022-01-01,2024-12-31,0.005620232838217583,1095
20996076,Shopee Singapore Pvt Ltd.,1,2022-01-07,2457,153,2022-01-03,2024-12-31,0.06227106227106227,1093
1016226,Robert Walters Plc,1,2022-06-07,2452,6,2022-01-03,2024-04-30,0.0024469820554649264,848
22243679,BGC Group Pte Ltd.,1,2022-08-19,2428,109,2022-01-05,2024-12-27,0.044892915980230645,1087
14068528,Jobline Resources,1,2022-01-11,2411,16,2022-01-03,2024-12-25,0.006636250518457071,1087
305012,"Thermo Fisher Scientific, Inc.",1,2022-03-10,2387,106,2022-01-04,2024-12-31,0.044407205697528276,1092
22166835,PricewaterhouseCoopers LLP,1,2022-10-24,2320,38,2022-01-02,2024-12-24,0.016379310344827588,1087
946842,Kerry Consulting Pte Ltd.,1,2022-08-17,2312,6,2022-01-03,2024-12-18,0.0025951557093425604,1080
1063424,JointHire Singapore Pte Ltd.,1,2022-01-15,2273,68,2022-01-04,2024-12-31,0.029916410030796304,1092
1066426,Dynamic Human Capital Pte Ltd.,1,2023-09-07,2248,21,2022-01-03,2024-12-30,0.009341637010676156,1092
45485,Prudential Plc,1,2022-01-03,2179,34,2022-01-03,2024-12-31,0.015603487838458009,1093
